samp_name	source_mat_id	sample_alt_lab_ids	biosamples_accession	tissue_type	molecular_sex	molecular_sex_reference	samp_taxon_common	samp_taxon_ID	specific_host	latitude	longitude	geo_loc_name	site_name	sample_age	sample_age_upper	sample_age_lower	sample_age_inference_methods	c14_age	c14_age_sd	c14_lab_code	sample_age_reference	sample_age_notes	nuclear_sequencing_platform	nuclear_library_strategy	nuclear_depth_of_coverage	nuclear_damage_treatment	nuclear_lib_strandedness	nuclear_reference	mt_sequencing_platform	mt_library_strategy	mt_targeted_region	mt_depth_of_coverage	mt_damage_treatment	mt_lib_strandedness	mt_accession	mt_reference	curator_comments	curated_by	curation_complete
SC19.MCJ015	YG 647.150	not applicable	SAMEA13128085	petrous part of temporal bone, UBERON:0001694	male	https://doi.org/10.1038/s41586-022-04824-9	Wolf	9612	Canis lupus	63.903076	-139.372369	Canada	Paradise Hill, Yukon	43821	44164	43477	radiocarbon dating	41330	730	UCIAMS 226605	https://doi.org/10.1038/s41586-022-04824-9		ILLUMINA	WGS	2.32	none	single	https://doi.org/10.1038/s41586-022-04824-9	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable		Anders Bergström	yes
SC19.MCJ017	YG 74.2	not applicable	SAMEA13128086	petrous part of temporal bone, UBERON:0001694	female	https://doi.org/10.1038/s41586-022-04824-9	Wolf	9612	Canis lupus	64.029896	-139.172883	Canada	Hunker Creek, Yukon	52745	47948	73393	genetic inference	50700	2300	UCIAMS 226606	https://doi.org/10.1038/s41586-022-04824-9	C14 date out of bounds	ILLUMINA	WGS	0.48	none	single	https://doi.org/10.1038/s41586-022-04824-9	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable		Anders Bergström	yes
Scoresbysund1	M10-3294	3294	SAMN46708467	skin of body, UBERON:0002097	female	https://doi.org/10.1126/science.adu1990	Dog	9615	Canis lupus familiaris	70.49	-21.99	Greenland	Scoresbysund, Northeast	22	not applicable	not applicable	historical records	not applicable	not applicable	not applicable	https://doi.org/10.1126/science.adu1990		ILLUMINA	WGS	0.47	none	double	https://doi.org/10.1126/science.adu1990	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable		Lachie Scarsbrook	yes
Scoresbysund2	P46/2017KMG	TRF.01.42	SAMN46708468	petrous part of temporal bone, UBERON:0001694	female	https://doi.org/10.1126/science.adu1990	Dog	9615	Canis lupus familiaris	70.49	-21.99	Greenland	Scorsbysund, Northeast	33	not applicable	not applicable	historical records	not applicable	not applicable	not applicable	https://doi.org/10.1126/science.adu1990		ILLUMINA	WGS	0.06	none	double	https://doi.org/10.1126/science.adu1990	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable		Lachie Scarsbrook	yes
Sic2	AN/855	not applicable	SAMEA117560939	petrous part of temporal bone, UBERON:0001694	male	https://doi.org/10.1016/j.isci.2023.107307	Wolf	9612	Canis lupus	37.5	14	Italy	Sicly	71	not applicable	not applicable	historical records	not applicable	not applicable	not applicable	https://doi.org/10.1016/j.isci.2023.107307		ILLUMINA	WGS	5.39	none	double	https://doi.org/10.1016/j.isci.2023.107307	not applicable	not applicable	not applicable	585.91	not applicable	not applicable	not applicable	not applicable	Coordinates of Sicily	Mattias Sherman	yes
Sic3	M/18	not applicable	SAMEA117560940	missing	male	https://doi.org/10.1016/j.isci.2023.107307	Wolf	9612	Canis lupus	37.5	14	Italy	Sicly	75	80	70	historical records	not applicable	not applicable	not applicable	https://doi.org/10.1016/j.isci.2023.107307		ILLUMINA	WGS	4.24	none	double	https://doi.org/10.1016/j.isci.2023.107307	not applicable	not applicable	not applicable	1239.91	not applicable	not applicable	not applicable	not applicable	Coordinates of Sicily	Mattias Sherman	yes
Sic7	Sic7	not applicable	SAMEA117560941	skin of body, UBERON:0002097	female	https://doi.org/10.1016/j.isci.2023.107307	Wolf	9612	Canis lupus	37.5	14	Italy	Sicly	50	70	30	historical records	not applicable	not applicable	not applicable	https://doi.org/10.1016/j.isci.2023.107307		ILLUMINA	WGS	3.8	none	double	https://doi.org/10.1016/j.isci.2023.107307	not applicable	not applicable	not applicable	99.46	not applicable	not applicable	not applicable	not applicable	Coordinates of Sicily	Mattias Sherman	yes
Siorapaluk1	P39/2017KMG	TRF.01.35	SAMN46708469	petrous part of temporal bone, UBERON:0001694	male	https://doi.org/10.1126/science.adu1990	Dog	9615	Canis lupus familiaris	77.79	-70.63	Greenland	Siorapaluk, Avanersuaq	0	not applicable	not applicable	historical records	not applicable	not applicable	not applicable	https://doi.org/10.1126/science.adu1990		ILLUMINA	WGS	5.33	none	double	https://doi.org/10.1126/science.adu1990	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable		Lachie Scarsbrook	yes
Siorapaluk2	P58/2017KMG	TRF.01.54	SAMN46708470	petrous part of temporal bone, UBERON:0001694	female	https://doi.org/10.1126/science.adu1990	Dog	9615	Canis lupus familiaris	77.79	-70.63	Greenland	Siorapaluk, Avanersuaq	0	not applicable	not applicable	historical records	not applicable	not applicable	not applicable	https://doi.org/10.1126/science.adu1990		ILLUMINA	WGS	0.1	none	double	https://doi.org/10.1126/science.adu1990	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable		Lachie Scarsbrook	yes
Siorapaluk3	P59/2017KMG	TRF.01.55	SAMN46708471	petrous part of temporal bone, UBERON:0001694	male	https://doi.org/10.1126/science.adu1990	Dog	9615	Canis lupus familiaris	77.79	-70.63	Greenland	Siorapaluk, Avanersuaq	0	not applicable	not applicable	historical records	not applicable	not applicable	not applicable	https://doi.org/10.1126/science.adu1990		ILLUMINA	WGS	0.07	none	double	https://doi.org/10.1126/science.adu1990	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable		Lachie Scarsbrook	yes
Siorapaluk4	P60/2017KMG	TRF.01.56	SAMN46708472	petrous part of temporal bone, UBERON:0001694	female	https://doi.org/10.1126/science.adu1990	Dog	9615	Canis lupus familiaris	77.79	-70.63	Greenland	Siorapaluk, Avanersuaq	0	not applicable	not applicable	historical records	not applicable	not applicable	not applicable	https://doi.org/10.1126/science.adu1990		ILLUMINA	WGS	1.33	none	double	https://doi.org/10.1126/science.adu1990	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable		Lachie Scarsbrook	yes
Siorapaluk5	P61/2017KMG	TRF.01.57	SAMN46708473	petrous part of temporal bone, UBERON:0001694	male	https://doi.org/10.1126/science.adu1990	Dog	9615	Canis lupus familiaris	77.79	-70.63	Greenland	Siorapaluk, Avanersuaq	0	not applicable	not applicable	historical records	not applicable	not applicable	not applicable	https://doi.org/10.1126/science.adu1990		ILLUMINA	WGS	8.1	none	double	https://doi.org/10.1126/science.adu1990	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable		Lachie Scarsbrook	yes
Siorapaluk6	P62/2017KMG	TRF.01.58	SAMN46708474	petrous part of temporal bone, UBERON:0001694	male	https://doi.org/10.1126/science.adu1990	Dog	9615	Canis lupus familiaris	77.79	-70.63	Greenland	Siorapaluk, Avanersuaq	0	not applicable	not applicable	historical records	not applicable	not applicable	not applicable	https://doi.org/10.1126/science.adu1990		ILLUMINA	WGS	0.07	none	double	https://doi.org/10.1126/science.adu1990	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable		Lachie Scarsbrook	yes
