samp_name	biosamples_accession	source_mat_id	sample_alt_lab_ids	tissue_type	molecular_sex	molecular_sex_reference	samp_taxon_common	samp_taxon_ID	specific_host	latitude	longitude	geo_loc_name	site_name	sample_age	sample_age_upper	sample_age_lower	sample_age_inference_methods	c14_age	c14_age_sd	c14_lab_code	sample_age_reference	sample_age_notes	nuclear_sequencing_platform	nuclear_library_strategy	nuclear_depth_of_coverage	nuclear_damage_treatment	nuclear_lib_strandedness	nuclear_reference	mt_sequencing_platform	mt_library_strategy	mt_targeted_region	mt_depth_of_coverage	mt_damage_treatment	mt_lib_strandedness	mt_accession	mt_reference	curator_comments	curated_by	curation_complete
Monjukli7	SAMEA4609731	D, Locus 208, RN 1347, B, r	KD241	petrous part of temporal bone, UBERON:0001713	female	https://doi.org/10.1126/science.aas9411	Goat	9925	Capra, Capra hircus	36.8485	60.4181	Turkmenistan	Monjukli Depe, Meana-Čaača	8100.0	8350.0	7850.0	stratigraphic inference	not applicable	not applicable	not applicable	not applicable		ILLUMINA	WGS	not applicable	full-udg	double	https://doi.org/10.1126/science.aas9411	ILLUMINA	Targeted-Capture 	complete	31.87	full-udg	double	LS992646.1	doi.org/10.1126/science.aas9411		Kevin Daly	yes
Monjukli8	SAMEA4607419	C, Locus 220, RN 6682, l	KD242	petrous part of temporal bone, UBERON:0001714	male	https://doi.org/10.1126/science.aas9411	Goat	9925	Capra, Capra hircus	36.8485	60.4181	Turkmenistan	Monjukli Depe, Meana-Čaača	8100.0	8350.0	7850.0	stratigraphic inference	not applicable	not applicable	not applicable	not applicable		ILLUMINA	WGS	2.57	full-udg	double	https://doi.org/10.1126/science.aas9411	not applicable	WGS	not applicable	411.74	not applicable	not applicable	LS992630.1	not applicable		Kevin Daly	yes
Monjukli9	SAMEA4609732	C, Locus 169, RN 5765, A, l	KD243	petrous part of temporal bone, UBERON:0001715	male	https://doi.org/10.1126/science.aas9411	Goat	9925	Capra, Capra hircus	36.8485	60.4181	Turkmenistan	Monjukli Depe, Meana-Čaača	8100.0	8350.0	7850.0	stratigraphic inference	not applicable	not applicable	not applicable	not applicable		ILLUMINA	WGS	not applicable	full-udg	double	https://doi.org/10.1126/science.aas9411	ILLUMINA	Targeted-Capture 	complete	33.02	full-udg	double	LS992637.1	doi.org/10.1126/science.aas9411		Kevin Daly	yes
Nubiana1	SAMEA13853359	C, Locus 72, RN 5293, l	Nubiana1	mandible, UBERON:0001684	male	https://doi.org/10.7554/eLife.82984	Nubian ibex	72543	Capra, Capra nubiana	missing	missing	missing	Born at the Muséum national d'Histoire naturelle zoo, France, 	-60.0	-59.5	-60.5	historical records	not applicable	not applicable	not applicable	not applicable		ILLUMINA	WGS	1.25	full-udg	double	https://doi.org/10.7554/eLife.82984	not applicable	WGS	not applicable	211.32	not applicable	not applicable	OW568908.1	not applicable	Unclear year of death	Kevin Daly	yes
OB21-04	SAMEA8022722 	missing	OB21-04	mandible, UBERON:0001684	male	https://doi.org/10.1038/s41562-021-01083-y	Goat	9925	Capra, Capra hircus	missing	missing	Kyrgyzstan	Obisir V	2890.0	2995.0	2785.0	radiocarbon dating	2796	34	AA-114608	https://doi.org/10.1038/s41562-021-01083-y		ILLUMINA	WGS	missing	full-udg	double	https://doi.org/10.1038/s41562-021-01083-y	missing	AMPLICON	MT-CYB; HVRI	not applicable	not applicable	not applicable	missing	doi.org/10.1038/s41562-021-01083-y		Kevin Daly	yes
Ovc11	SAMEA4609733	missing	Ovc11	missing	female	https://doi.org/10.1126/science.aas9411	Goat	9925	Capra, Capra hircus	43.1141	26.3824	Bulgaria	Ovčarovo-gorata, Tărgovište	7550.0	7650.0	7450.0	stratigraphic inference	not applicable	not applicable	not applicable	not applicable		ILLUMINA	WGS	not applicable	partial-udg	double	https://doi.org/10.1126/science.aas9411	missing; ILLUMINA	AMPLICON; Targeted-Capture	d-loop; complete	8.63	none; full-udg	double	missing;LS992636.1	doi.org/10.1515/9783110266306.45; doi.org/10.1126/science.aas9411		Kevin Daly	yes
Pie17	SAMEA4609734	missing	Pie17	missing	female	https://doi.org/10.1126/science.aas9411	Goat	9925	Capra, Capra hircus	44.059471	26.119469	Romania	Pietrele, Giurgiu	6300.0	6400.0	6200.0	stratigraphic inference	not applicable	not applicable	not applicable	not applicable		ILLUMINA	WGS	not applicable	full-udg	double	https://doi.org/10.1126/science.aas9411	missing; ILLUMINA	AMPLICON; Targeted-Capture	d-loop; complete	6.98	none; full-udg	double	missing;LS992641.1	doi.org/10.1515/9783110266306.45; doi.org/10.1126/science.aas9411		Kevin Daly	yes
Potterne1	SAMEA4591772	1983.200 3120-3159 3125 Box 4110	VEM199	petrous part of temporal bone, UBERON:0001708	female	https://doi.org/10.1126/science.aas9411	Goat	9925	Capra, Capra hircus	51.324387	-2.008906	United Kingdom	Potterne, Wiltshire	2900.0	3200.0	2600.0	stratigraphic inference	not applicable	not applicable	not applicable	not applicable		ILLUMINA	WGS	3.57	full-udg	double	https://doi.org/10.1126/science.aas9411	not applicable	WGS	not applicable	217.21	not applicable	not applicable	LS992640.1	not applicable		Kevin Daly	yes
Pyrenica2	SAMEA13853358	MNHN ZM AC 1947-1	Pyrenica2	mandible, UBERON:0001684	male	https://doi.org/10.7554/eLife.82984	Pyrenean ibex	80419	Capra, capra pyrenica	missing	missing	missing	missing	4.0	24.0	4.0	historical records	not applicable	not applicable	not applicable	not applicable		ILLUMINA	WGS	0.16	full-udg	double	https://doi.org/10.7554/eLife.82984	not applicable	WGS	not applicable	51.2	not applicable	not applicable	OW568860.1	not applicable	Unclear year of death	Kevin Daly	yes
Qazvin1	SAMEA4591768	MM TCHZ2	KD179	petrous part of temporal bone, UBERON:0001708	female	https://doi.org/10.1126/science.aas9411	Goat	9925	Capra, Capra hircus	35.783	49.416	Iran	Tepe Chizar, Qazvin	4100.0	4350.0	3850.0	stratigraphic inference	not applicable	not applicable	not applicable	not applicable		ILLUMINA	WGS	3.16	full-udg	double	https://doi.org/10.1126/science.aas9411	ILLUMINA	Targeted-Capture 	complete	448.01	full-udg	double	LS992639.1	doi.org/10.1126/science.aas9411		Kevin Daly	yes
